costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,datacqtr,cheq,chq,dlcq,dlttq,rstcheltq,rstcheq
A,USD,STD,INDL,C,MSTR,2021-03-31,111534,2021Q1,83.7380,82.5440,10.6510,1743.7630,,1.1940
A,USD,STD,INDL,C,MSTR,2021-06-30,111534,2021Q2,57.6040,56.3990,10.0000,2231.8270,,1.2050
A,USD,STD,INDL,C,MSTR,2021-09-30,111534,2021Q3,58.1240,56.9750,9.7610,2231.9730,,1.1490
A,USD,STD,INDL,C,MSTR,2021-12-31,111534,2021Q4,64.4340,63.3560,9.2110,2231.7590,,1.0780
A,USD,STD,INDL,C,MSTR,2022-03-31,111534,2022Q1,98.9420,92.6770,,2435.8210,,6.2650
A,USD,STD,INDL,C,MSTR,2022-06-30,111534,2022Q2,75.5410,69.3860,,2447.0250,,6.1550
A,USD,STD,INDL,C,MSTR,2022-09-30,111534,2022Q3,66.9680,60.3900,,2446.2130,,6.5780
A,USD,STD,INDL,C,MSTR,2022-12-31,111534,2022Q4,50.8680,43.8350,10.5060,2445.9040,,7.0330
A,USD,STD,INDL,C,MSTR,2023-03-31,111534,2023Q1,96.4640,94.3110,0.4600,2241.2730,,2.1530
A,USD,STD,INDL,C,MSTR,2023-06-30,111534,2023Q2,68.0530,65.9680,0.4680,2241.7880,,2.0850
A,USD,STD,INDL,C,MSTR,2023-09-30,111534,2023Q3,46.8740,45.0090,0.4750,2239.7580,,1.8650
A,USD,STD,INDL,C,MSTR,2023-12-31,111534,2023Q4,48.6730,46.8170,10.9460,2243.1940,,1.8560
A,USD,STD,INDL,C,MSTR,2024-03-31,111534,2024Q1,83.7280,81.3260,0.4920,3617.2310,,2.4020
A,USD,STD,INDL,C,MSTR,2024-06-30,111534,2024Q2,68.8010,66.9230,145.1190,3759.9250,,1.8780
A,USD,STD,INDL,C,MSTR,2024-09-30,111534,2024Q3,48.2050,46.3430,0.5090,4269.4440,,1.8620
A,USD,STD,INDL,C,MSTR,2024-12-31,111534,2024Q4,39.8970,38.1170,10.9010,7247.5610,,1.7800
A,USD,STD,INDL,C,MSTR,2025-03-31,111534,2025Q1,62.2580,60.2980,0.5250,8193.8470,,1.9600
A,USD,STD,INDL,C,MSTR,2025-06-30,111534,2025Q2,52.1320,50.0950,0.3490,8213.4990,,2.0370
A,USD,STD,INDL,C,MSTR,2025-09-30,111534,2025Q3,56.2000,54.2850,0.3160,8221.7490,,1.9150
