,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-01-04,31988.71,70470.0,425.22,7253000.0,,0.0009,2254244393.7,,,,3084120660.0,,0.00971597959465049,False,False
2021-01-05,33949.53,70470.0,428.63,7253000.0,,0.0009,2392423379.1,,,,3108853390.0,,0.00971597959465049,False,False
2021-01-06,36769.36,70470.0,480.55,7253000.0,,0.0009,2591136799.2,,,,3485429150.0,,0.00971597959465049,False,False
2021-01-07,39432.28,70470.0,535.75,7253000.0,,0.0009,2778792771.6,,,,3885794750.0,,0.00971597959465049,False,False
2021-01-08,40582.81,70470.0,531.64,7253000.0,,0.0008,2859870620.7,,,,3855984920.0,,0.00971597959465049,False,False
2021-01-09,40088.22,70470.0,531.64,7253000.0,,0.0008,2825016863.4,,,,3855984920.0,,0.00971597959465049,False,False
2021-01-10,38150.02,70470.0,531.64,7253000.0,,0.0008,2688431909.3999996,,,,3855984920.0,,0.00971597959465049,False,False
2021-01-11,35404.47,70470.0,495.49,7253000.0,,0.0008,2494953000.9,,,,3593788970.0,,0.00971597959465049,False,False
2021-01-12,34051.24,70470.0,514.24,7253000.0,,0.0009,2399590882.7999997,,,,3729782720.0,,0.00971597959465049,False,False
2021-01-13,37371.38,70470.0,519.26,7253000.0,,0.0009,2633561148.6,,,,3766192780.0,,0.00971597959465049,False,False
2021-01-14,39144.5,70470.0,631.0,7253000.0,,0.0009,2758512915.0,,,,4576643000.0,,0.00971597959465049,False,False
2021-01-15,36742.22,70470.0,578.07,7253000.0,,0.0009,2589224243.4,,,,4192741710.0000005,,0.00971597959465049,False,False
2021-01-16,35994.98,70470.0,578.07,7253000.0,,0.0009,2536566240.6000004,,,,4192741710.0000005,,0.00971597959465049,False,False
2021-01-17,35828.61,70470.0,578.07,7253000.0,,0.0009,2524842146.7,,,,4192741710.0000005,,0.00971597959465049,False,False
2021-01-18,36631.27,70470.0,578.07,7253000.0,,0.0009,2581405596.8999996,,,,4192741710.0000005,,0.00971597959465049,False,False
2021-01-19,35891.49,70470.0,592.21,7253000.0,,0.0009,2529273300.2999997,,,,4295299130.0,,0.00971597959465049,False,False
2021-01-20,35468.23,70470.0,550.82,7253000.0,,0.0008,2499446168.1000004,,,,3995097460.0000005,,0.00971597959465049,False,False
2021-01-21,30850.13,70470.0,520.46,7253000.0,,0.0009,2174008661.1,,,,3774896380.0000005,,0.00971597959465049,False,False
2021-01-22,32945.17,70784.0,577.03,7253000.0,,0.0008,2331990913.2799997,,,,4185198590.0,,0.009759272025368812,False,False
2021-01-23,32078.0,70784.0,577.03,7253000.0,,0.0008,2270609152.0,,,,4185198590.0,,0.009759272025368812,False,False
2021-01-24,32259.9,70784.0,577.03,7253000.0,,0.0008,2283484761.6,,,,4185198590.0,,0.009759272025368812,False,False
2021-01-25,32254.2,70784.0,571.42,7253000.0,,0.0009,2283081292.8,,,,4144509259.9999995,,0.009759272025368812,False,False
2021-01-26,32467.77,70784.0,559.81,7253000.0,,0.0007000000000000001,2298198631.68,,,,4060301929.9999995,,0.009759272025368812,False,False
2021-01-27,30366.15,70784.0,540.1,7253000.0,,0.0008,2149437561.6,,,,3917345300.0,,0.009759272025368812,False,False
2021-01-28,33364.86,70784.0,578.375,7253000.0,,0.0007000000000000001,2361698250.2400002,,,,4194953875.0,,0.009759272025368812,False,False
2021-01-29,34252.2,70784.0,617.31,7623000.0,,0.0006,2424507724.7999997,,,,4705754130.0,,0.009285583103764922,False,False
2021-01-30,34262.88,70784.0,617.31,7623000.0,,0.0006,2425263697.9199996,,,,4705754130.0,,0.009285583103764922,False,False
2021-01-31,33092.98,70784.0,617.31,7623000.0,,0.0006,2342453496.32,,,,4705754130.0,,0.009285583103764922,False,False
2021-02-01,33526.37,70784.0,634.56,7623000.0,,0.0007000000000000001,2373130574.0800004,,,,4837250880.0,,0.009285583103764922,False,False
2021-02-02,35466.24,70784.0,687.92,7623000.0,,0.0007000000000000001,2510442332.16,,,,5244014160.0,,0.009285583103764922,False,False
2021-02-03,37618.87,70784.0,741.19,7623000.0,,0.0004,2662814094.0800004,,,,5650091370.0,,0.009285583103764922,False,False
2021-02-04,36936.66,70784.0,765.59,7623000.0,,0.0004,2614524541.44,,,,5836092570.0,,0.009285583103764922,False,False
2021-02-05,38290.24,70784.0,806.0,7623000.0,,0.0003,2710336348.16,,,,6144138000.0,,0.009285583103764922,False,False
2021-02-06,39186.94,70784.0,806.0,7623000.0,,0.0003,2773808360.96,,,,6144138000.0,,0.009285583103764922,False,False
2021-02-07,38795.69,70784.0,806.0,7623000.0,,0.0003,2746114120.96,,,,6144138000.0,,0.009285583103764922,False,False
2021-02-08,46374.87,70784.0,1041.0,7623000.0,,0.0005,3282598798.0800004,,,,7935543000.0,,0.009285583103764922,False,False
2021-02-09,46420.42,70784.0,1272.94,7623000.0,,0.0004,3285823009.2799997,,,,9703621620.0,,0.009285583103764922,False,False
2021-02-10,44807.58,70784.0,974.48,7623000.0,,0.0005,3171659742.7200003,,,,7428461040.0,,0.009285583103764922,False,False
